medal_type,medal_code,name,gender,nationality,discipline,event,code_athlete
Gold Medal,1,MUYDINKHUJAEV Asadkhuja,Male,Uzbekistan,Boxing,Men's 71kg,1556797
Silver Medal,2,VERDE ALVAREZ Marco Alonso,Male,Mexico,Boxing,Men's 71kg,1535187
Gold Medal,1,MULLOJONOV Lazizbek,Male,Uzbekistan,Boxing,Men's 92kg,1556860
Silver Medal,2,ALFONSO DOMINGUEZ Loren Berto,Male,Azerbaijan,Boxing,Men's 92kg,1972343
Gold Medal,1,WU Yu,Female,China,Boxing,Women's 50kg,1926833
Silver Medal,2,CAKIROGLU Buse Naz,Female,Türkiye,Boxing,Women's 50kg,1568182
Gold Medal,1,KHELIF Imane,Female,Algeria,Boxing,Women's 66kg,1540353
Silver Medal,2,YANG Liu,Female,China,Boxing,Women's 66kg,1926827
Gold Medal,1,AMI,Female,Japan,Breaking,B-Girls,1953038
Silver Medal,2,NICKA,Female,Lithuania,Breaking,B-Girls,1924559
Bronze Medal,3,671,Female,China,Breaking,B-Girls,1909907
Gold Medal,1,FUKSA Martin,Male,Czechia,Canoe Sprint,Men's Canoe Single 1000m,1878716
Silver Medal,2,QUEIROZ Isaquias,Male,Brazil,Canoe Sprint,Men's Canoe Single 1000m,1952595
Bronze Medal,3,TARNOVSCHI Serghei,Male,Republic of Moldova,Canoe Sprint,Men's Canoe Single 1000m,1550295
Gold Medal,1,LAVREYSEN Harrie,Male,Netherlands,Cycling Track,Men's Sprint,1969182
Silver Medal,2,RICHARDSON Matthew,Male,Australia,Cycling Track,Men's Sprint,1940263
Bronze Medal,3,CARLIN Jack,Male,Great Britain,Cycling Track,Men's Sprint,1912515
Gold Medal,1,CHEN Yiwen,Female,China,Diving,Women's 3m Springboard,1901538
Silver Medal,2,KEENEY Maddison,Female,Australia,Diving,Women's 3m Springboard,1940414
Bronze Medal,3,CHANG Yani,Female,China,Diving,Women's 3m Springboard,1901539
Gold Medal,1,RASOVSZKY Kristof,Male,Hungary,Marathon Swimming,Men's 10km,1909030
Silver Medal,2,KLEMET Oliver,Male,Germany,Marathon Swimming,Men's 10km,1907234
Bronze Medal,3,BETLEHEM David,Male,Hungary,Marathon Swimming,Men's 10km,1902450
Gold Medal,1,BONTUS Valentin,Male,Austria,Sailing,Men's Kite,1566437
Silver Medal,2,VODISEK Toni,Male,Slovenia,Sailing,Men's Kite,1981549
Bronze Medal,3,MAEDER Maximilian,Male,Singapore,Sailing,Men's Kite,1535852
Gold Medal,1,ROBERTS Toby,Male,Great Britain,Sport Climbing,Men's Boulder & Lead,1544218
Silver Medal,2,ANRAKU Sorato,Male,Japan,Sport Climbing,Men's Boulder & Lead,1892022
Bronze Medal,3,SCHUBERT Jakob,Male,Austria,Sport Climbing,Men's Boulder & Lead,1560677
Gold Medal,1,KATOUSSI Firas,Male,Tunisia,Taekwondo,Men -80kg,1947737
Silver Medal,2,BARKHORDARI Mehran,Male,IR Iran,Taekwondo,Men -80kg,1536058
Bronze Medal,3,ALESSIO Simone,Male,Italy,Taekwondo,Men -80kg,1929685
Bronze Medal,3,HRNIC Edi,Male,Denmark,Taekwondo,Men -80kg,1914832
Gold Medal,1,MARTON Viviana,Female,Hungary,Taekwondo,Women -67kg,1572318
Silver Medal,2,PERISIC Aleksandra,Female,Serbia,Taekwondo,Women -67kg,1956372
Bronze Medal,3,TEACHOUT Kristina,Female,United States,Taekwondo,Women -67kg,1930773
Bronze Medal,3,CHAARI Sarah,Female,Belgium,Taekwondo,Women -67kg,1903284
Gold Medal,1,NASAR Karlos May,Male,Bulgaria,Weightlifting,Men's 89kg,1903011
Silver Medal,2,LOPEZ Yeison,Male,Colombia,Weightlifting,Men's 89kg,1543506
Bronze Medal,3,PIZZOLATO Antonino,Male,Italy,Weightlifting,Men's 89kg,1568724
Gold Medal,1,REEVES Olivia,Female,United States,Weightlifting,Women's 71kg,1917154
Silver Medal,2,SANCHEZ Mari Leivis,Female,Colombia,Weightlifting,Women's 71kg,1543509
Bronze Medal,3,PALACIOS DAJOMES Angie Paola,Female,Ecuador,Weightlifting,Women's 71kg,1940300
Gold Medal,1,HIGUCHI Rei,Male,Japan,Wrestling,Men's Freestyle 57kg,1939714
Silver Medal,2,LEE Spencer Richard,Male,United States,Wrestling,Men's Freestyle 57kg,1955415
Bronze Medal,3,AMAN Aman,Male,India,Wrestling,Men's Freestyle 57kg,1931496
Bronze Medal,3,ABDULLAEV Gulomjon,Male,Uzbekistan,Wrestling,Men's Freestyle 57kg,1562157
Gold Medal,1,RAMAZANOV Magomed Eldarovitch,Male,Bulgaria,Wrestling,Men's Freestyle 86kg,1556873
Silver Medal,2,YAZDANICHARATI Hassan,Male,IR Iran,Wrestling,Men's Freestyle 86kg,1544803
Bronze Medal,3,BROOKS Aaron Marquel,Male,United States,Wrestling,Men's Freestyle 86kg,1955300
Bronze Medal,3,KURUGLIEV Dauren,Male,Greece,Wrestling,Men's Freestyle 86kg,1963800
Gold Medal,1,SAKURAI Tsugumi,Female,Japan,Wrestling,Women's Freestyle 57kg,1939710
Silver Medal,2,NICHITA Anastasia,Female,Republic of Moldova,Wrestling,Women's Freestyle 57kg,1572203
Bronze Medal,3,MAROULIS Helen Louise,Female,United States,Wrestling,Women's Freestyle 57kg,1955426
Bronze Medal,3,HONG Kexin,Female,China,Wrestling,Women's Freestyle 57kg,1920010
Gold Medal,1,INGEBRIGTSEN Jakob,Male,Norway,Athletics,Men's 5000m,1898250
Silver Medal,2,KWEMOI Ronald,Male,Kenya,Athletics,Men's 5000m,1963077
Bronze Medal,3,FISHER Grant,Male,United States,Athletics,Men's 5000m,1960959
Gold Medal,1,WANYONYI Emmanuel,Male,Kenya,Athletics,Men's 800m,1910412
Silver Medal,2,AROP Marco,Male,Canada,Athletics,Men's 800m,1974048
Bronze Medal,3,SEDJATI Djamel,Male,Algeria,Athletics,Men's 800m,1963520
Gold Medal,1,KERR Hamish,Male,New Zealand,Athletics,Men's High Jump,1926713
Silver Medal,2,McEWEN Shelby,Male,United States,Athletics,Men's High Jump,1965306
Bronze Medal,3,BARSHIM Mutaz Essa,Male,Qatar,Athletics,Men's High Jump,1566681
Gold Medal,1,TOLA Tamirat,Male,Ethiopia,Athletics,Men's Marathon,1901284
Silver Medal,2,ABDI Bashir,Male,Belgium,Athletics,Men's Marathon,1942753
Bronze Medal,3,KIPRUTO Benson,Male,Kenya,Athletics,Men's Marathon,1910555
Gold Medal,1,RUSSELL Masai,Female,United States,Athletics,Women's 100m Hurdles,1960169
Silver Medal,2,SAMBA-MAYELA Cyrena,Female,France,Athletics,Women's 100m Hurdles,1911932
Bronze Medal,3,CAMACHO-QUINN Jasmine,Female,United States,Athletics,Women's 100m Hurdles,1537183
Gold Medal,1,KIPYEGON Faith,Female,Kenya,Athletics,Women's 1500m,1910451
Silver Medal,2,HULL Jessica,Female,Australia,Athletics,Women's 1500m,1939795
Bronze Medal,3,BELL Georgia,Female,Great Britain,Athletics,Women's 1500m,1956840
Gold Medal,1,KITAGUCHI Haruka,Female,Japan,Athletics,Women's Javelin Throw,1919914
Silver Medal,2,van DYK Jo-Ane,Female,South Africa,Athletics,Women's Javelin Throw,1981085
Bronze Medal,3,OGRODNIKOVA Nikola,Female,,Athletics,Women's Javelin Throw,1892137
Gold Medal,1,JALOLOV Bakhodir,Male,Uzbekistan,Boxing,Men's +92kg,1556869
Silver Medal,2,GHADFA DRISSI EL AISSAOUI Ayoub,Male,Spain,Boxing,Men's +92kg,1934775
Gold Medal,1,KHALOKOV Abdumalik,Male,Uzbekistan,Boxing,Men's 57kg,1556049
Silver Medal,2,SEIITBEK UULU Munarbek,Male,Kyrgyzstan,Boxing,Men's 57kg,1878687
Gold Medal,1,LIN Yu Ting,Female,Chinese Taipei,Boxing,Women's 57kg,1887963
Silver Medal,2,SZEREMETA Julia,Female,Poland,Boxing,Women's 57kg,1568655
Gold Medal,1,LI Qian,Female,China,Boxing,Women's 75kg,1926826
Silver Medal,2,BYLON Atheyna Bibeichi,Female,Panama,Boxing,Women's 75kg,1965679
Gold Medal,1,PHIL WIZARD,Male,Canada,Breaking,B-Boys,1958888
Silver Medal,2,DANY DANN,Male,France,Breaking,B-Boys,1880191
Bronze Medal,3,VICTOR,Male,United States,Breaking,B-Boys,1955590
Gold Medal,1,DOSTAL Josef,Male,Czechia,Canoe Sprint,Men's Kayak Single 1000m,1878715
Silver Medal,2,VARGA Adam,Male,Hungary,Canoe Sprint,Men's Kayak Single 1000m,1570863
Bronze Medal,3,KOPASZ Balint,Male,Hungary,Canoe Sprint,Men's Kayak Single 1000m,1569972
Gold Medal,1,VINCENT Katie,Female,Canada,Canoe Sprint,Women's Canoe Single 200m,1964547
Silver Medal,2,HARRISON Nevin,Female,United States,Canoe Sprint,Women's Canoe Single 200m,1955126
Bronze Medal,3,CIRILO DUBOYS Yarisleidis,Female,Cuba,Canoe Sprint,Women's Canoe Single 200m,1564506
Gold Medal,1,CARRINGTON Lisa,Female,New Zealand,Canoe Sprint,Women's Kayak Single 500m,1945383
Silver Medal,2,CSIPES Tamara,Female,Hungary,Canoe Sprint,Women's Kayak Single 500m,1568350
Bronze Medal,3,JORGENSEN Emma Aastrand,Female,Denmark,Canoe Sprint,Women's Kayak Single 500m,1892423
Gold Medal,1,CAO Yuan,Male,China,Diving,Men's 10m Platform,1901556
Silver Medal,2,TAMAI Rikuto,Male,Japan,Diving,Men's 10m Platform,1891685
Bronze Medal,3,WILLIAMS Noah,Male,Great Britain,Diving,Men's 10m Platform,1900857
Gold Medal,1,KO Lydia,Female,New Zealand,Golf,Women's Individual Stroke Play,1939553
Silver Medal,2,HENSELEIT Esther,Female,Germany,Golf,Women's Individual Stroke Play,1892506
Bronze Medal,3,LIN Xiyu Janet,Female,China,Golf,Women's Individual Stroke Play,1913218
Gold Medal,1,ELGENDY Ahmed,Male,Egypt,Modern Pentathlon,Men's Individual,1932649
Silver Medal,2,SATO Taishu,Male,Japan,Modern Pentathlon,Men's Individual,1887939
Bronze Medal,3,MALAN Giorgio,Male,Italy,Modern Pentathlon,Men's Individual,1553031
Gold Medal,1,GARNBRET Janja,Female,Slovenia,Sport Climbing,Women's Boulder & Lead,1981131
Silver Medal,2,RABOUTOU Brooke,Female,United States,Sport Climbing,Women's Boulder & Lead,1950307
Bronze Medal,3,PILZ Jessica,Female,Austria,Sport Climbing,Women's Boulder & Lead,1560673
Gold Medal,1,SALIMI Arian,Male,IR Iran,Taekwondo,Men +80kg,1536045
Silver Medal,2,CUNNINGHAM Caden,Male,Great Britain,Taekwondo,Men +80kg,1896149
Bronze Medal,3,ALBA Rafael,Male,Cuba,Taekwondo,Men +80kg,1897088
Bronze Medal,3,CISSE Cheick Sallah,Male,Côte d'Ivoire,Taekwondo,Men +80kg,1548401
Gold Medal,1,LAURIN Althea,Female,France,Taekwondo,Women +67kg,1893272
Silver Medal,2,OSIPOVA Svetlana,Female,Uzbekistan,Taekwondo,Women +67kg,1887768
Bronze Medal,3,LEE Dabin,Female,Korea,Taekwondo,Women +67kg,1904039
Bronze Medal,3,KUS AYDIN Nafia,Female,Türkiye,Taekwondo,Women +67kg,1566738
Gold Medal,1,TALAKHADZE Lasha,Male,Georgia,Weightlifting,Men's +102kg,1551443
Silver Medal,2,LALAYAN Varazdat,Male,Armenia,Weightlifting,Men's +102kg,1544424
Bronze Medal,3,MINASYAN Gor,Male,Bahrain,Weightlifting,Men's +102kg,1540334
Gold Medal,1,LIU Huanhua,Male,China,Weightlifting,Men's 102kg,1918369
Silver Medal,2,DJURAEV Akbar,Male,Uzbekistan,Weightlifting,Men's 102kg,1551307
Bronze Medal,3,TSIKHANTSOU Yauheni,Male,Belarus,Weightlifting,Men's 102kg,1569832
Gold Medal,1,KOANDA Solfrid Eila Amena,Female,Norway,Weightlifting,Women's 81kg,1878625
Silver Medal,2,AHMED Sara,Female,Egypt,Weightlifting,Women's 81kg,1563010
Bronze Medal,3,DAJOMES BARRERA Neisi Patricia,Female,Ecuador,Weightlifting,Women's 81kg,1940308
Gold Medal,1,PETRIASHVILI Geno,Male,Georgia,Wrestling,Men's Freestyle 125kg,1554885
Silver Medal,2,ZARE Amir Hossein,Male,IR Iran,Wrestling,Men's Freestyle 125kg,1543088
Bronze Medal,3,AKGUL Taha,Male,Türkiye,Wrestling,Men's Freestyle 125kg,1570546
Bronze Medal,3,MESHVILDISHVILI Giorgi,Male,Azerbaijan,Wrestling,Men's Freestyle 125kg,1947172
Gold Medal,1,JAMALOV Razambek Salambekovitch,Male,Uzbekistan,Wrestling,Men's Freestyle 74kg,1562164
Silver Medal,2,TAKATANI Daichi,Male,Japan,Wrestling,Men's Freestyle 74kg,1939708
Bronze Medal,3,DAKE Kyle Douglas,Male,United States,Wrestling,Men's Freestyle 74kg,1955345
Bronze Medal,3,VALIEV Chermen,Male,Albania,Wrestling,Men's Freestyle 74kg,3429662
Gold Medal,1,MOTOKI Sakura,Female,Japan,Wrestling,Women's Freestyle 62kg,1939702
Silver Medal,2,KOLIADENKO Iryna,Female,Ukraine,Wrestling,Women's Freestyle 62kg,1897022
Bronze Medal,3,TYNYBEKOVA Aisuluu,Female,Kyrgyzstan,Wrestling,Women's Freestyle 62kg,1902786
Bronze Medal,3,BULLEN Grace Jacob,Female,Norway,Wrestling,Women's Freestyle 62kg,1878635
Gold Medal,1,HASSAN Sifan,Female,Netherlands,Athletics,Women's Marathon,1972105
Silver Medal,2,ASSEFA Tigst,Female,Ethiopia,Athletics,Women's Marathon,1901487
Bronze Medal,3,OBIRI Hellen,Female,Kenya,Athletics,Women's Marathon,1932851
Gold Medal,1,LAVREYSEN Harrie,Male,Netherlands,Cycling Track,Men's Keirin,1969182
Silver Medal,2,RICHARDSON Matthew,Male,Australia,Cycling Track,Men's Keirin,1940263
Bronze Medal,3,GLAETZER Matthew,Male,Australia,Cycling Track,Men's Keirin,1940262
Gold Medal,1,VALENTE Jennifer,Female,United States,Cycling Track,Women's Omnium,1955106
Silver Medal,2,PIKULIK Daria,Female,Poland,Cycling Track,Women's Omnium,1572953
Bronze Medal,3,WOLLASTON Ally,Female,New Zealand,Cycling Track,Women's Omnium,1945080
Gold Medal,1,ANDREWS Ellesse,Female,New Zealand,Cycling Track,Women's Sprint,1945040
Silver Medal,2,FRIEDRICH Lea,Female,Germany,Cycling Track,Women's Sprint,1889704
Bronze Medal,3,FINUCANE Emma,Female,Great Britain,Cycling Track,Women's Sprint,1912522
Gold Medal,1,GULYAS Michelle,Female,Hungary,Modern Pentathlon,Women's Individual,1936619
Silver Medal,2,CLOUVEL Elodie,Female,France,Modern Pentathlon,Women's Individual,1545116
Bronze Medal,3,SEONG Seungmin,Female,Korea,Modern Pentathlon,Women's Individual,1786902
Gold Medal,1,LI Wenwen,Female,China,Weightlifting,Women's +81kg,1918376
Silver Medal,2,PARK Hyejeong,Female,Korea,Weightlifting,Women's +81kg,1894414
Bronze Medal,3,CAMPBELL Emily,Female,Great Britain,Weightlifting,Women's +81kg,1544179
Gold Medal,1,KIYOOKA Kotaro,Male,Japan,Wrestling,Men's Freestyle 65kg,1939700
Silver Medal,2,AMOUZADKHALILI Rahman,Male,IR Iran,Wrestling,Men's Freestyle 65kg,1544830
Bronze Medal,3,RIVERA Sebastian C,Male,United States,Wrestling,Men's Freestyle 65kg,1537188
Bronze Medal,3,DUDAEV Islam,Male,Albania,Wrestling,Men's Freestyle 65kg,1559387
Gold Medal,1,TAZHUDINOV Akhmed,Male,Bahrain,Wrestling,Men's Freestyle 97kg,1540305
Silver Medal,2,MATCHARASHVILI Givi,Male,Georgia,Wrestling,Men's Freestyle 97kg,1552495
Bronze Medal,3,MAGOMEDOV Magomedkhan,Male,Azerbaijan,Wrestling,Men's Freestyle 97kg,1981785
Bronze Medal,3,AZARPIRA Amirali,Male,IR Iran,Wrestling,Men's Freestyle 97kg,1543095
Gold Medal,1,KAGAMI Yuka,Female,Japan,Wrestling,Women's Freestyle 76kg,1939701
Silver Medal,2,BLADES Kennedy Alexis,Female,United States,Wrestling,Women's Freestyle 76kg,1955344
Bronze Medal,3,MARIN POTRILLE Milaimy de la Carid,Female,Cuba,Wrestling,Women's Freestyle 76kg,1571936
Bronze Medal,3,RENTERIA RENTERIA Tatiana,Female,Colombia,Wrestling,Women's Freestyle 76kg,1535513
Gold Medal,1,VARFOLOMEEV Darja,Female,Germany,Rhythmic Gymnastics,Individual All-Around,1896230
Silver Medal,2,KALEYN Boryana,Female,Bulgaria,Rhythmic Gymnastics,Individual All-Around,1548948
Bronze Medal,3,RAFFAELI Sofia,Female,Italy,Rhythmic Gymnastics,Individual All-Around,1923694
Gold Medal,1,THIAM Nafissatou,Female,Belgium,Athletics,Women's Heptathlon,1903112
Silver Medal,2,JOHNSON-THOMPSON Katarina,Female,Great Britain,Athletics,Women's Heptathlon,1977926
Bronze Medal,3,VIDTS Noor,Female,Belgium,Athletics,Women's Heptathlon,1895596
Gold Medal,1,CHANG Yani,Female,China,Diving,Women's Synchronised 3m Springboard,1901539
Gold Medal,1,CHEN Yiwen,Female,China,Diving,Women's Synchronised 3m Springboard,1901538
Silver Medal,2,BACON Sarah,Female,United States,Diving,Women's Synchronised 3m Springboard,1954159
Silver Medal,2,COOK Kassidy,Female,United States,Diving,Women's Synchronised 3m Springboard,1954168
Bronze Medal,3,HARPER Yasmin,Female,Great Britain,Diving,Women's Synchronised 3m Springboard,1900841
Bronze Medal,3,MEW JENSEN Scarlett,Female,Great Britain,Diving,Women's Synchronised 3m Springboard,1973355
Gold Medal,1,PASQUET Varian,Male,France,Rugby Sevens,Men,1879682
Gold Medal,1,TIMO Andy,Male,France,Rugby Sevens,Men,1879687
Gold Medal,1,REBBADJ Rayan,Male,France,Rugby Sevens,Men,1879683
Gold Medal,1,FORNER Theo,Male,France,Rugby Sevens,Men,1879671
Gold Medal,1,PAREZ EDO MARTIN Stephen,Male,France,Rugby Sevens,Men,1879681
Gold Medal,1,RIVA Paulin,Male,France,Rugby Sevens,Men,1879684
Gold Medal,1,JOSEPH Jefferson-Lee,Male,France,Rugby Sevens,Men,1879675
Gold Medal,1,ZEGHDAR Antoine,Male,France,Rugby Sevens,Men,1879692
Gold Medal,1,GRANDIDIER NKANANG Aaron,Male,France,Rugby Sevens,Men,1879672
Gold Medal,1,BARRAQUE Jean Pascal,Male,France,Rugby Sevens,Men,1879661
Gold Medal,1,DUPONT Antoine,Male,France,Rugby Sevens,Men,1879669
Gold Medal,1,SEPHO Jordan,Male,France,Rugby Sevens,Men,1879685
Gold Medal,1,EPEE Nelson,Male,France,Rugby Sevens,Men,1879670
Silver Medal,2,NASOVA Joji,Male,Fiji,Rugby Sevens,Men,1908897
Silver Medal,2,TALACOLO Joseva,Male,Fiji,Rugby Sevens,Men,1908838
Silver Medal,2,MATANA Jeremaia,Male,Fiji,Rugby Sevens,Men,1913346
Silver Medal,2,MOCENACAGI Sevuloni,Male,Fiji,Rugby Sevens,Men,1977633
Silver Medal,2,BALEIWAIRIKI Iosefo,Male,Fiji,Rugby Sevens,Men,1913523
Silver Medal,2,LOGANIMASI Ponipate,Male,Fiji,Rugby Sevens,Men,1982069
Silver Medal,2,VEILAWA Terio Tamani,Male,Fiji,Rugby Sevens,Men,1913286
Silver Medal,2,NACUQU Waisea,Male,Fiji,Rugby Sevens,Men,1913334
Silver Medal,2,TUWAI Jerry,Male,Fiji,Rugby Sevens,Men,1908911
Silver Medal,2,TEBA Iowane,Male,Fiji,Rugby Sevens,Men,1908835
Silver Medal,2,RASAKU Kaminieli,Male,Fiji,Rugby Sevens,Men,1908841
Silver Medal,2,RAVUTAUMADA Selesitino,Male,Fiji,Rugby Sevens,Men,2484588
Silver Medal,2,JOSAIA Raisuqe,Male,Fiji,Rugby Sevens,Men,1982687
Silver Medal,2,SAUTURAGA Filipe,Male,Fiji,Rugby Sevens,Men,1908901
Bronze Medal,3,GROBBELAAR Christie,Male,South Africa,Rugby Sevens,Men,1574106
Bronze Medal,3,OOSTHUIZEN Ryan,Male,South Africa,Rugby Sevens,Men,1574107
Bronze Medal,3,VISSER Impi,Male,South Africa,Rugby Sevens,Men,1574108
Bronze Medal,3,DAVIDS Zain,Male,South Africa,Rugby Sevens,Men,1574109
Bronze Medal,3,NORTJE Quewin,Male,South Africa,Rugby Sevens,Men,1888936
Bronze Medal,3,PRETORIUS Tiaan,Male,South Africa,Rugby Sevens,Men,1574111
Bronze Medal,3,LEYDS Tristan,Male,South Africa,Rugby Sevens,Men,1574134
Bronze Medal,3,DAVIDS Selvyn,Male,South Africa,Rugby Sevens,Men,1888932
Bronze Medal,3,WILLIAMS Shaun,Male,South Africa,Rugby Sevens,Men,1574114
Bronze Medal,3,SPECMAN Rosko,Male,South Africa,Rugby Sevens,Men,1574121
Bronze Medal,3,SOYIZWAPI Siviwe,Male,South Africa,Rugby Sevens,Men,1574118
Bronze Medal,3,van WYK Shilton,Male,South Africa,Rugby Sevens,Men,1574119
Bronze Medal,3,BROWN Ronald,Male,South Africa,Rugby Sevens,Men,1574112
Gold Medal,1,HUANG Yuting,Female,China,Shooting,10m Air Rifle Mixed Team,1913945
Gold Medal,1,SHENG Lihao,Male,China,Shooting,10m Air Rifle Mixed Team,1913899
Silver Medal,2,KEUM Jihyeon,Female,Korea,Shooting,10m Air Rifle Mixed Team,1893896
Silver Medal,2,PARK Hajun,Male,Korea,Shooting,10m Air Rifle Mixed Team,1893976
Bronze Medal,3,LE Alexandra,Female,Kazakhstan,Shooting,10m Air Rifle Mixed Team,1930466
Bronze Medal,3,SATPAYEV Islam,Male,Kazakhstan,Shooting,10m Air Rifle Mixed Team,1930467
Gold Medal,1,HELD Ryan,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay,1935916
Gold Medal,1,KING Matt,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay,1935933
Gold Medal,1,ARMSTRONG Hunter,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay,1935871
Gold Medal,1,DRESSEL Caeleb,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay,1935896
Gold Medal,1,ALEXY Jack,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay,1935869
Gold Medal,1,GUILIANO Chris,Male,United States,Swimming,Men's 4 x 100m Freestyle Relay,1935911
Silver Medal,2,CARTWRIGHT Jack,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay,1946186
Silver Medal,2,YANG William,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay,1946235
Silver Medal,2,SOUTHAM Flynn,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay,1946179
Silver Medal,2,CHALMERS Kyle,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay,1946200
Silver Medal,2,TAYLOR Kai,Male,Australia,Swimming,Men's 4 x 100m Freestyle Relay,1946196
Bronze Medal,3,ZAZZERI Lorenzo,Male,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1925669
Bronze Medal,3,DEPLANO Leonardo,Male,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1925681
Bronze Medal,3,CONTE BONIN Paolo,Male,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1925675
Bronze Medal,3,FRIGO Manuel,Male,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1925634
Bronze Medal,3,CECCON Thomas,Male,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1925635
Bronze Medal,3,MIRESSI Alessandro,Male,Italy,Swimming,Men's 4 x 100m Freestyle Relay,1925636
Gold Medal,1,WUNSCH Olivia,Female,Australia,Swimming,Women's 4 x 100m Freestyle Relay,1946221
Gold Medal,1,CAMPBELL Bronte,Female,Australia,Swimming,Women's 4 x 100m Freestyle Relay,1946159
Gold Medal,1,HARRIS Meg,Female,Australia,Swimming,Women's 4 x 100m Freestyle Relay,1946212
Gold Medal,1,McKEON Emma,Female,Australia,Swimming,Women's 4 x 100m Freestyle Relay,1946177
Gold Medal,1,JACK Shayna,Female,Australia,Swimming,Women's 4 x 100m Freestyle Relay,1946227
Gold Medal,1,O'CALLAGHAN Mollie,Female,Australia,Swimming,Women's 4 x 100m Freestyle Relay,1946218
Silver Medal,2,WEITZEIL Abbey,Female,United States,Swimming,Women's 4 x 100m Freestyle Relay,1935860
Silver Medal,2,MANUEL Simone,Female,United States,Swimming,Women's 4 x 100m Freestyle Relay,1935945
Silver Medal,2,CONNOLLY Erika,Female,United States,Swimming,Women's 4 x 100m Freestyle Relay,1935879
Silver Medal,2,DOUGLASS Kate,Female,United States,Swimming,Women's 4 x 100m Freestyle Relay,1935895
Silver Medal,2,HUSKE Torri,Female,United States,Swimming,Women's 4 x 100m Freestyle Relay,1935923
Silver Medal,2,WALSH Gretchen,Female,United States,Swimming,Women's 4 x 100m Freestyle Relay,1935998
Bronze Medal,3,CHENG Yujie,Female,China,Swimming,Women's 4 x 100m Freestyle Relay,1945230
Bronze Medal,3,WU Qingfeng,Female,China,Swimming,Women's 4 x 100m Freestyle Relay,1945206
Bronze Medal,3,YU Yiting,Female,China,Swimming,Women's 4 x 100m Freestyle Relay,1945164
Bronze Medal,3,YANG Junxuan,Female,China,Swimming,Women's 4 x 100m Freestyle Relay,1945159
Bronze Medal,3,ZHANG Yufei,Female,China,Swimming,Women's 4 x 100m Freestyle Relay,1945125
Gold Medal,1,JEON Hunyoung,Female,Korea,Archery,Women's Team,1902121
Gold Medal,1,LIM Sihyeon,Female,Korea,Archery,Women's Team,1902147
Gold Medal,1,NAM Suhyeon,Female,Korea,Archery,Women's Team,1902148
Silver Medal,2,AN Qixuan,Female,China,Archery,Women's Team,1913382
Silver Medal,2,LI Jiaman,Female,China,Archery,Women's Team,1913372
Silver Medal,2,YANG Xiaolei,Female,China,Archery,Women's Team,1913380
Bronze Medal,3,RUIZ Angela,Female,Mexico,Archery,Women's Team,1535429
Bronze Medal,3,VALENCIA Alejandra,Female,Mexico,Archery,Women's Team,1535420
Bronze Medal,3,VAZQUEZ Ana,Female,Mexico,Archery,Women's Team,1536479
Gold Medal,1,KIM Je Deok,Male,Korea,Archery,Men's Team,1902130
Gold Medal,1,KIM Woojin,Male,Korea,Archery,Men's Team,1902135
Gold Medal,1,LEE Wooseok,Male,Korea,Archery,Men's Team,1902144
Silver Medal,2,ADDIS Baptiste,Male,France,Archery,Men's Team,1541270
Silver Medal,2,CHIRAULT Thomas,Male,France,Archery,Men's Team,1541272
Silver Medal,2,VALLADONT Jean-Charles,Male,France,Archery,Men's Team,1541275
Bronze Medal,3,GAZOZ Mete,Male,Türkiye,Archery,Men's Team,1565000
Bronze Medal,3,TUMER Berkim,Male,Türkiye,Archery,Men's Team,1565002
Bronze Medal,3,YILDIRMIS Abdullah,Male,Türkiye,Archery,Men's Team,1565006
Gold Medal,1,HASHIMOTO Daiki,Male,Japan,Artistic Gymnastics,Men's Team,1919492
Gold Medal,1,KAYA Kazuma,Male,Japan,Artistic Gymnastics,Men's Team,1919491
Gold Medal,1,OKA Shinnosuke,Male,Japan,Artistic Gymnastics,Men's Team,1919480
Gold Medal,1,SUGINO Takaaki,Male,Japan,Artistic Gymnastics,Men's Team,1919479
Gold Medal,1,TANIGAWA Wataru,Male,Japan,Artistic Gymnastics,Men's Team,1919490
Silver Medal,2,LIU Yang,Male,China,Artistic Gymnastics,Men's Team,1918856
Silver Medal,2,SU Weide,Male,China,Artistic Gymnastics,Men's Team,1918858
Silver Medal,2,XIAO Ruoteng,Male,China,Artistic Gymnastics,Men's Team,1918860
Silver Medal,2,ZHANG Boheng,Male,China,Artistic Gymnastics,Men's Team,1918864
Silver Medal,2,ZOU Jingyuan,Male,China,Artistic Gymnastics,Men's Team,1918865
Bronze Medal,3,HONG Asher,Male,United States,Artistic Gymnastics,Men's Team,1959781
Bronze Medal,3,JUDA Paul,Male,United States,Artistic Gymnastics,Men's Team,1959855
